collationid,typename,collation,characterset
1,MariaDB,big5_chinese_ci,big5
84,MariaDB,big5_bin,big5
1025,MariaDB,big5_chinese_nopad_ci,big5
1108,MariaDB,big5_nopad_bin,big5
3,MariaDB,dec8_swedish_ci,dec8
69,MariaDB,dec8_bin,dec8
1027,MariaDB,dec8_swedish_nopad_ci,dec8
1093,MariaDB,dec8_nopad_bin,dec8
4,MariaDB,cp850_general_ci,cp850
80,MariaDB,cp850_bin,cp850
1028,MariaDB,cp850_general_nopad_ci,cp850
1104,MariaDB,cp850_nopad_bin,cp850
6,MariaDB,hp8_english_ci,hp8
72,MariaDB,hp8_bin,hp8
1030,MariaDB,hp8_english_nopad_ci,hp8
1096,MariaDB,hp8_nopad_bin,hp8
7,MariaDB,koi8r_general_ci,koi8r
74,MariaDB,koi8r_bin,koi8r
1031,MariaDB,koi8r_general_nopad_ci,koi8r
1098,MariaDB,koi8r_nopad_bin,koi8r
5,MariaDB,latin1_german1_ci,latin1
8,MariaDB,latin1_swedish_ci,latin1
15,MariaDB,latin1_danish_ci,latin1
31,MariaDB,latin1_german2_ci,latin1
47,MariaDB,latin1_bin,latin1
48,MariaDB,latin1_general_ci,latin1
49,MariaDB,latin1_general_cs,latin1
94,MariaDB,latin1_spanish_ci,latin1
1032,MariaDB,latin1_swedish_nopad_ci,latin1
1071,MariaDB,latin1_nopad_bin,latin1
2,MariaDB,latin2_czech_cs,latin2
9,MariaDB,latin2_general_ci,latin2
21,MariaDB,latin2_hungarian_ci,latin2
27,MariaDB,latin2_croatian_ci,latin2
77,MariaDB,latin2_bin,latin2
1033,MariaDB,latin2_general_nopad_ci,latin2
1101,MariaDB,latin2_nopad_bin,latin2
10,MariaDB,swe7_swedish_ci,swe7
82,MariaDB,swe7_bin,swe7
1034,MariaDB,swe7_swedish_nopad_ci,swe7
1106,MariaDB,swe7_nopad_bin,swe7
11,MariaDB,ascii_general_ci,ascii
65,MariaDB,ascii_bin,ascii
1035,MariaDB,ascii_general_nopad_ci,ascii
1089,MariaDB,ascii_nopad_bin,ascii
12,MariaDB,ujis_japanese_ci,ujis
91,MariaDB,ujis_bin,ujis
1036,MariaDB,ujis_japanese_nopad_ci,ujis
1115,MariaDB,ujis_nopad_bin,ujis
13,MariaDB,sjis_japanese_ci,sjis
88,MariaDB,sjis_bin,sjis
1037,MariaDB,sjis_japanese_nopad_ci,sjis
1112,MariaDB,sjis_nopad_bin,sjis
16,MariaDB,hebrew_general_ci,hebrew
71,MariaDB,hebrew_bin,hebrew
1040,MariaDB,hebrew_general_nopad_ci,hebrew
1095,MariaDB,hebrew_nopad_bin,hebrew
18,MariaDB,tis620_thai_ci,tis620
89,MariaDB,tis620_bin,tis620
1042,MariaDB,tis620_thai_nopad_ci,tis620
1113,MariaDB,tis620_nopad_bin,tis620
19,MariaDB,euckr_korean_ci,euckr
85,MariaDB,euckr_bin,euckr
1043,MariaDB,euckr_korean_nopad_ci,euckr
1109,MariaDB,euckr_nopad_bin,euckr
22,MariaDB,koi8u_general_ci,koi8u
75,MariaDB,koi8u_bin,koi8u
1046,MariaDB,koi8u_general_nopad_ci,koi8u
1099,MariaDB,koi8u_nopad_bin,koi8u
24,MariaDB,gb2312_chinese_ci,gb2312
86,MariaDB,gb2312_bin,gb2312
1048,MariaDB,gb2312_chinese_nopad_ci,gb2312
1110,MariaDB,gb2312_nopad_bin,gb2312
25,MariaDB,greek_general_ci,greek
70,MariaDB,greek_bin,greek
1049,MariaDB,greek_general_nopad_ci,greek
1094,MariaDB,greek_nopad_bin,greek
26,MariaDB,cp1250_general_ci,cp1250
34,MariaDB,cp1250_czech_cs,cp1250
44,MariaDB,cp1250_croatian_ci,cp1250
66,MariaDB,cp1250_bin,cp1250
99,MariaDB,cp1250_polish_ci,cp1250
1050,MariaDB,cp1250_general_nopad_ci,cp1250
1090,MariaDB,cp1250_nopad_bin,cp1250
28,MariaDB,gbk_chinese_ci,gbk
87,MariaDB,gbk_bin,gbk
1052,MariaDB,gbk_chinese_nopad_ci,gbk
1111,MariaDB,gbk_nopad_bin,gbk
30,MariaDB,latin5_turkish_ci,latin5
78,MariaDB,latin5_bin,latin5
1054,MariaDB,latin5_turkish_nopad_ci,latin5
1102,MariaDB,latin5_nopad_bin,latin5
32,MariaDB,armscii8_general_ci,armscii8
64,MariaDB,armscii8_bin,armscii8
1056,MariaDB,armscii8_general_nopad_ci,armscii8
1088,MariaDB,armscii8_nopad_bin,armscii8
33,MariaDB,utf8_general_ci,utf8
83,MariaDB,utf8_bin,utf8
192,MariaDB,utf8_unicode_ci,utf8
193,MariaDB,utf8_icelandic_ci,utf8
194,MariaDB,utf8_latvian_ci,utf8
195,MariaDB,utf8_romanian_ci,utf8
196,MariaDB,utf8_slovenian_ci,utf8
197,MariaDB,utf8_polish_ci,utf8
198,MariaDB,utf8_estonian_ci,utf8
199,MariaDB,utf8_spanish_ci,utf8
200,MariaDB,utf8_swedish_ci,utf8
201,MariaDB,utf8_turkish_ci,utf8
202,MariaDB,utf8_czech_ci,utf8
203,MariaDB,utf8_danish_ci,utf8
204,MariaDB,utf8_lithuanian_ci,utf8
205,MariaDB,utf8_slovak_ci,utf8
206,MariaDB,utf8_spanish2_ci,utf8
207,MariaDB,utf8_roman_ci,utf8
208,MariaDB,utf8_persian_ci,utf8
209,MariaDB,utf8_esperanto_ci,utf8
210,MariaDB,utf8_hungarian_ci,utf8
211,MariaDB,utf8_sinhala_ci,utf8
212,MariaDB,utf8_german2_ci,utf8
213,MariaDB,utf8_croatian_mysql561_ci,utf8
214,MariaDB,utf8_unicode_520_ci,utf8
215,MariaDB,utf8_vietnamese_ci,utf8
223,MariaDB,utf8_general_mysql500_ci,utf8
576,MariaDB,utf8_croatian_ci,utf8
577,MariaDB,utf8_myanmar_ci,utf8
578,MariaDB,utf8_thai_520_w2,utf8
1057,MariaDB,utf8_general_nopad_ci,utf8
1107,MariaDB,utf8_nopad_bin,utf8
1216,MariaDB,utf8_unicode_nopad_ci,utf8
1238,MariaDB,utf8_unicode_520_nopad_ci,utf8
35,MariaDB,ucs2_general_ci,ucs2
90,MariaDB,ucs2_bin,ucs2
128,MariaDB,ucs2_unicode_ci,ucs2
129,MariaDB,ucs2_icelandic_ci,ucs2
130,MariaDB,ucs2_latvian_ci,ucs2
131,MariaDB,ucs2_romanian_ci,ucs2
132,MariaDB,ucs2_slovenian_ci,ucs2
133,MariaDB,ucs2_polish_ci,ucs2
134,MariaDB,ucs2_estonian_ci,ucs2
135,MariaDB,ucs2_spanish_ci,ucs2
136,MariaDB,ucs2_swedish_ci,ucs2
137,MariaDB,ucs2_turkish_ci,ucs2
138,MariaDB,ucs2_czech_ci,ucs2
139,MariaDB,ucs2_danish_ci,ucs2
140,MariaDB,ucs2_lithuanian_ci,ucs2
141,MariaDB,ucs2_slovak_ci,ucs2
142,MariaDB,ucs2_spanish2_ci,ucs2
143,MariaDB,ucs2_roman_ci,ucs2
144,MariaDB,ucs2_persian_ci,ucs2
145,MariaDB,ucs2_esperanto_ci,ucs2
146,MariaDB,ucs2_hungarian_ci,ucs2
147,MariaDB,ucs2_sinhala_ci,ucs2
148,MariaDB,ucs2_german2_ci,ucs2
149,MariaDB,ucs2_croatian_mysql561_ci,ucs2
150,MariaDB,ucs2_unicode_520_ci,ucs2
151,MariaDB,ucs2_vietnamese_ci,ucs2
159,MariaDB,ucs2_general_mysql500_ci,ucs2
640,MariaDB,ucs2_croatian_ci,ucs2
641,MariaDB,ucs2_myanmar_ci,ucs2
642,MariaDB,ucs2_thai_520_w2,ucs2
1059,MariaDB,ucs2_general_nopad_ci,ucs2
1114,MariaDB,ucs2_nopad_bin,ucs2
1152,MariaDB,ucs2_unicode_nopad_ci,ucs2
1174,MariaDB,ucs2_unicode_520_nopad_ci,ucs2
36,MariaDB,cp866_general_ci,cp866
68,MariaDB,cp866_bin,cp866
1060,MariaDB,cp866_general_nopad_ci,cp866
1092,MariaDB,cp866_nopad_bin,cp866
37,MariaDB,keybcs2_general_ci,keybcs2
73,MariaDB,keybcs2_bin,keybcs2
1061,MariaDB,keybcs2_general_nopad_ci,keybcs2
1097,MariaDB,keybcs2_nopad_bin,keybcs2
38,MariaDB,macce_general_ci,macce
43,MariaDB,macce_bin,macce
1062,MariaDB,macce_general_nopad_ci,macce
1067,MariaDB,macce_nopad_bin,macce
39,MariaDB,macroman_general_ci,macroman
53,MariaDB,macroman_bin,macroman
1063,MariaDB,macroman_general_nopad_ci,macroman
1077,MariaDB,macroman_nopad_bin,macroman
